post_id,theme,title,copy,Visual,prompt,platforms,status,image_ref
SS-001,What emits EMF,What is EMF?,,,,FB,draft,assets/posts/what-emits-EMF.jpg
SS-002,What is a Shakti,What is a Shakti AIR?,,,,FB,draft,assets/posts/what-is-a-shakti.jpg
SS-003,What is EMF?,What is EMF?,,,,,,assets/posts/what-is-EMF.jpg
,Sleep / Longevity,,"Quote (Donna Bervinchak):
“I have been able to sleep restfully & restoratively for the first time since 2012.”","Morning light through curtains, bed made, no human present. Emotion: relief without drama.",,,,
,Time as Proof,,"Quote (Donna Bervinchak):
“For the first time since 2012.”
(Yes, isolating the fragment is powerful and still faithful.)","Minimal bedroom corner, clock blurred, soft daylight. Emotion: duration, not hype.",,,,
,Comparative Experience,,Quote (Liza M): “I can confirm that the Shakti AIR is the most helpful against electromagnetic frequencies over anything I have tried.”,"Visual: Neutral apartment shelf, books + plants, product not visible. Emotion: measured certainty.",,,,
,Confirmation Language,,"Quote (Liza M):
“The most helpful… over anything I have tried.”","Close crop of hands resting on a table, calm posture. Emotion: considered judgment, not enthusiasm.",,,,
,Proof Through Experience,,"Quote (Christine M):
“I believe this experience is powerful proof that these devices can reduce the harmful effects of EMFs.”","Urban apartment interior, daylight, slightly dense environment. Emotion: lived credibility.",,,,
,"Belief, Not Promise",,"Quote (Christine M):
“Powerful proof.”","Quiet living room, chair angled away from camera, no faces. Emotion: witness, not spokesperson.",,,,
,Legitimizing & Validating the Experience (3),,,,,,,
,Institutional Recognition,,"Post text:
Sweden’s national health system recognizes Electromagnetic Hypersensitivity as a functional impairment — and provides support for treatment.","Minimal Scandinavian interior, pale wood, soft daylight.",,,,
,Validation Without Fear,,"For many people, sensitivity to electromagnetic environments is real — even when it’s invisible to others.","Person looking out a window, face partially obscured.",,,,
,Naming the Experience,,Not everyone experiences modern environments the same way. Acknowledging that difference matters.,"Quiet urban street, early morning, low contrast.",,,,
,Home as Baseline,,Your home should be a place of serenity.,"Spacious minimalist apartment, negative space.",,,,
,Stillness,,Calm isn’t something you add. It’s something you allow.,"Chair, sunlight on floor, nothing else.",,,,
,Absence as Design,,The absence of noise is a form of care.,"Empty room, soft shadows, neutral palette.",,,,
